timestamp,middle,index,thumb
1753134952.1866205,0,0,0
1753134952.385993,0,0,0
1753134952.5860484,0,0,0
1753134952.7865868,0,0,0
1753134952.9860098,0,0,0
1753134953.1860068,0,0,0
1753134953.3861487,0,0,0
1753134953.5859559,0,0,0
1753134953.786532,0,0,0
1753134953.9860866,0,0,0
1753134954.1866043,0,0,0
1753134954.3860137,0,0,0
1753134954.5860186,0,0,0
1753134954.7860215,0,0,0
1753134954.9860456,0,0,0
1753134955.1859856,0,0,0
1753134955.3860087,0,0,0
1753134955.5860574,0,0,0
1753134955.7859619,0,0,0
1753134955.9859693,0,0,0
1753134956.1861336,0,0,0
1753134956.3859754,0,0,0
1753134956.5860214,0,0,0
1753134956.7860236,0,0,0
1753134956.9860349,0,0,0
1753134957.1859422,0,0,0
1753134957.3859732,0,0,0
1753134957.5859272,0,0,0
1753134957.7860112,0,0,0
1753134957.9860501,0,0,0
1753134958.1860287,0,0,0
1753134958.3859596,0,0,0
1753134958.5859377,0,0,0
1753134958.7859876,0,0,0
1753134958.9859853,0,0,0
1753134959.1860077,0,0,0
1753134959.3858984,0,0,0
1753134959.5859666,0,0,0
1753134959.7859583,0,0,0
1753134959.9860144,0,0,0
1753134960.185954,0,0,0
1753134960.3864784,0,0,0
1753134960.5861492,0,0,0
1753134960.7860024,0,0,0
1753134960.985995,0,0,0
1753134961.1860063,0,0,0
1753134961.3860426,0,0,0
1753134961.5860007,0,0,0
1753134961.7860408,0,0,0
1753134961.9859996,0,0,0
1753134962.1860628,0,0,231
1753134962.3860183,0,0,937
1753134962.5868697,0,0,1371
1753134962.7868633,0,0,1330
1753134962.98691,0,0,1223
1753134963.1860595,0,0,918
1753134963.3859653,0,0,947
1753134963.5869722,0,0,1198
1753134963.7871525,0,0,3927
1753134963.9871137,0,0,4095
1753134964.1869307,0,0,4089
1753134964.3869655,0,0,3940
1753134964.5869281,0,0,3951
1753134964.7868905,0,0,3924
1753134964.986898,0,0,4061
1753134965.1869502,0,0,4095
1753134965.3869283,0,0,4095
1753134965.5868745,0,0,4095
1753134965.7869058,0,0,4095
1753134965.9869256,0,0,4095
1753134966.1872175,0,0,4095
1753134966.3868537,0,0,4095
1753134966.5869353,0,0,3264
1753134966.7859268,0,0,0
1753134966.9860106,0,0,0
1753134967.185942,0,0,0
1753134967.3859246,0,0,0
1753134967.5859873,0,0,0
1753134967.7870064,0,1204,0
1753134967.9870129,0,3253,0
1753134968.1869087,0,3568,0
1753134968.3869765,0,3621,0
1753134968.5868773,0,3849,0
1753134968.7869577,0,4095,0
1753134968.986913,0,4095,0
1753134969.186855,0,4095,0
1753134969.3868892,0,4095,0
1753134969.5869248,0,4095,0
1753134969.7868586,0,4095,0
1753134969.9861116,0,0,0
1753134970.186035,0,0,0
1753134970.3859813,0,0,0
1753134970.585936,0,0,0
1753134970.7859337,0,0,0
1753134970.9859476,0,0,0
1753134971.185961,0,0,0
1753134971.3865676,0,0,0
1753134971.5859804,0,0,0
1753134971.7860286,0,0,0
1753134971.9859896,0,0,0
1753134972.1866214,0,0,0
1753134972.3859773,0,0,0
1753134972.5859592,0,0,0
1753134972.785917,0,0,0
1753134972.985939,0,0,0
1753134973.18597,0,0,0
1753134973.3859143,0,0,0
1753134973.5859807,0,0,0
1753134973.7859275,0,0,0
1753134973.9859483,0,0,0
1753134974.185963,0,0,0
1753134974.3858805,0,0,0
1753134974.585978,0,0,0
1753134974.785974,0,0,0
1753134974.9858992,0,0,0
1753134975.1859348,0,0,0
1753134975.3859346,0,0,0
1753134975.585899,0,0,0
1753134975.7859206,0,0,0
1753134975.9859955,0,0,0
1753134976.18595,0,0,0
1753134976.385922,0,0,0
1753134976.5859227,0,0,0
1753134976.7859771,0,0,0
1753134976.9859347,0,0,0
1753134977.1860034,0,0,0
1753134977.3859806,0,0,0
